"zfin_id_symbol","human.Symbol","ensembl_gene_id","entrezgene_id"
"nme7","NME7","ENSG00000143156",29922
"twist1a","TWIST1","ENSG00000122691",7291
"pcna","PCNA","ENSG00000132646",5111
"phox2a","PHOX2A","ENSG00000165462",401
"igf2bp3","IGF2BP3","ENSG00000136231",10643
"actc1b","ACTC1","ENSG00000159251",70
"tnnt3a","TNNT3","ENSG00000288250",7140
"tnnt3a","TNNT3","ENSG00000130595",7140
"pvalb2","PVALB","ENSG00000274665",5816
"pvalb2","PVALB","ENSG00000100362",5816
"myhz1.1","MYH2","ENSG00000125414",4620
"tbr1b","TBR1","ENSG00000136535",10716
"fzd8a","FZD8","ENSG00000177283",8325
"fzd8b","FZD8","ENSG00000177283",8325
"hoxc9a","HOXC9","ENSG00000180806",3225
"actb1","ACTB","ENSG00000075624",60
"hoxc12b","HOXC12","ENSG00000123407",3228
"hoxb7a","HOXB7","ENSG00000260027",3217
"actb2","ACTB","ENSG00000075624",60
"notch2","NOTCH2","ENSG00000134250",4853
"notch3","NOTCH3","ENSG00000074181",4854
"actn3a","ACTN3","ENSG00000248746",89
"trpc4apb","TRPC4AP","ENSG00000100991",26133
"trpc4apa","TRPC4AP","ENSG00000100991",26133
"stx1b","STX1B","ENSG00000099365",112755
"cdc25b","CDC25B","ENSG00000101224",994
"coil","COIL","ENSG00000121058",8161
"psen2","PSEN2","ENSG00000143801",5664
"axin1","AXIN1","ENSG00000103126",8312
"axin2","AXIN2","ENSG00000168646",8313
"pbx1a","PBX1","ENSG00000185630",5087
"pbx3b","PBX3","ENSG00000167081",5090
"pbx2","PBX2","ENSG00000225987",5089
"pbx2","PBX2","ENSG00000232005",5089
"pbx2","PBX2","ENSG00000224952",5089
"pbx2","PBX2","ENSG00000236353",5089
"pbx2","PBX2","ENSG00000206315",5089
"pbx2","PBX2","ENSG00000237344",5089
"pbx2","PBX2","ENSG00000204304",5089
"dazl","DAZL","ENSG00000092345",1618
"ccnb1","CCNB1","ENSG00000134057",891
"copz2","COPZ2","ENSG00000005243",51226
"copz1","COPZ1","ENSG00000111481",22818
"mespaa","MESP2","ENSG00000188095",145873
"mespba","MESP1","ENSG00000166823",55897
"bdnf","BDNF","ENSG00000176697",627
"fn1a","FN1","ENSG00000115414",2335
"mbl2","MBL2","ENSG00000165471",4153
"p2rx3a","P2RX3","ENSG00000109991",5024
"tbx20","TBX20","ENSG00000164532",57057
"spon1a","SPON1","ENSG00000262655",10418
"celf1","CELF1","ENSG00000149187",10658
"celf3a","CELF3","ENSG00000159409",11189
"bmpr1aa","BMPR1A","ENSG00000107779",657
"dct","DCT","ENSG00000080166",1638
"arntl1a","ARNTL","ENSG00000133794",406
"arntl2","ARNTL2","ENSG00000029153",56938
"smad3a","SMAD3","ENSG00000166949",4088
"hand2","HAND2","ENSG00000164107",9464
"pycard","PYCARD","ENSG00000103490",29108
"dap","DAP","ENSG00000112977",1611
"tradd","TRADD","ENSG00000102871",8717
"baxa","BAX","ENSG00000087088",581
"mcl1a","MCL1","ENSG00000143384",4170
"mcl1a","MCL1","ENSG00000143384",574406
"slc40a1","SLC40A1","ENSG00000138449",30061
"fbxw4","FBXW4","ENSG00000107829",6468
"pou4f1","POU4F1","ENSG00000152192",5457
"slc34a2a","SLC34A2","ENSG00000157765",10568
"hey2","HEY2","ENSG00000135547",23493
"runx1","RUNX1","ENSG00000159216",861
"runx1","RUNX1","ENSG00000159216",100506403
"runx3","RUNX3","ENSG00000020633",864
"pcdh18a","PCDH18","ENSG00000189184",54510
"sox5","SOX5","ENSG00000134532",6660
"bcl7a","BCL7A","ENSG00000282873",NA
"bcl7a","BCL7A","ENSG00000110987",605
"slc7a6","SLC7A6","ENSG00000103064",9057
"adgrl2a","ADGRL2","ENSG00000117114",23266
"kat6b","KAT6B","ENSG00000281813",23522
"kat6b","KAT6B","ENSG00000156650",23522
"tlcd5a","TLCD5","ENSG00000181264",219902
"evla","EVL","ENSG00000196405",51466
"hey1","HEY1","ENSG00000164683",23462
"noc2l","NOC2L","ENSG00000188976",26155
"si:ch211-285f17.1","KIAA1217","ENSG00000120549",56243
"hccsb","HCCS","ENSG00000004961",3052
"wwp2","WWP2","ENSG00000198373",11060
"badb","BAD","ENSG00000002330",572
"stk19","STK19","ENSG00000236250",8859
"stk19","STK19","ENSG00000226033",8859
"stk19","STK19","ENSG00000226257",8859
"stk19","STK19","ENSG00000234947",8859
"stk19","STK19","ENSG00000206342",8859
"stk19","STK19","ENSG00000204344",8859
"appa","APP","ENSG00000142192",351
"gart","GART","ENSG00000262473",2618
"gart","GART","ENSG00000159131",2618
"foxh1","FOXH1","ENSG00000160973",8928
"hsf1","HSF1","ENSG00000284774",3297
"hsf1","HSF1","ENSG00000185122",3297
"apaf1","APAF1","ENSG00000120868",317
"adar","ADAR","ENSG00000160710",103
"myf5","MYF5","ENSG00000111049",4617
"prph2a","PRPH2","ENSG00000112619",5961
"prph2b","PRPH2","ENSG00000112619",5961
"cxcl14","CXCL14","ENSG00000145824",9547
"gata6","GATA6","ENSG00000141448",2627
"tnnt2a","TNNT2","ENSG00000118194",7139
"fabp7a","FABP7","ENSG00000164434",2173
"adarb1a","ADARB1","ENSG00000197381",104
"rplp0","RPLP0","ENSG00000089157",6175
"ngfb","NGF","ENSG00000134259",4803
"ybx1","YBX1","ENSG00000065978",4904
"gpr173","GPR173","ENSG00000184194",54328
"gpr85","GPR85","ENSG00000164604",54329
"nme6","NME6","ENSG00000172113",10201
"zic2a","ZIC2","ENSG00000043355",7546
"casp8","CASP8","ENSG00000064012",841
"per3","PER3","ENSG00000049246",8863
"fgfr3","FGFR3","ENSG00000068078",2261
"hoxc6b","HOXC6","ENSG00000197757",3223
"hoxc11b","HOXC11","ENSG00000123388",3227
"hoxc13a","HOXC13","ENSG00000123364",3229
"hoxc13b","HOXC13","ENSG00000123364",3229
"hoxc12a","HOXC12","ENSG00000123407",3228
"hoxa9a","HOXA9","ENSG00000078399",3205
"hoxa9b","HOXA9","ENSG00000078399",3205
"hoxa3a","HOXA3","ENSG00000105997",3200
"hoxa4a","HOXA4","ENSG00000197576",3201
"hoxa1a","HOXA1","ENSG00000105991",3198
"hoxb5b","HOXB5","ENSG00000120075",3215
"hoxb6b","HOXB6","ENSG00000108511",3216
"hoxa11a","HOXA11","ENSG00000005073",3207
"hoxa5a","HOXA5","ENSG00000106004",3202
"scn8aa","SCN8A","ENSG00000196876",6334
"nkx2.4b","NKX2-4","ENSG00000125816",644524
"pcxb","PC","ENSG00000173599",5091
"fth1a","FTH1","ENSG00000167996",2495
"slc3a2a","SLC3A2","ENSG00000168003",6520
"dnajc3b","DNAJC3","ENSG00000102580",5611
"cd81a","CD81","ENSG00000110651",975
"pim2","PIM2","ENSG00000102096",11040
"cd74a","CD74","ENSG00000019582",972
"sptb","SPTB","ENSG00000070182",6710
"hspe1","HSPE1","ENSG00000115541",3336
"ctnnbip1","CTNNBIP1","ENSG00000178585",56998
"fzd9b","FZD9","ENSG00000188763",8326
"edn1","EDN1","ENSG00000078401",1906
"atoh7","ATOH7","ENSG00000179774",220202
"fech","FECH","ENSG00000066926",2235
"fgf4","FGF4","ENSG00000075388",2249
"robo2","ROBO2","ENSG00000185008",6092
"hmx3a","HMX3","ENSG00000188620",340784
"pax5","PAX5","ENSG00000196092",5079
"pax8","PAX8","ENSG00000125618",7849
"pax2b","PAX2","ENSG00000075891",5076
"pax6b","PAX6","ENSG00000007372",5080
"nos1","NOS1","ENSG00000089250",4842
"sox9a","SOX9","ENSG00000125398",6662
"sox9b","SOX9","ENSG00000125398",6662
"fezf2","FEZF2","ENSG00000153266",55079
"cyp19a1b","CYP19A1","ENSG00000137869",1588
"cldn7b","CLDN7","ENSG00000288292",1366
"cldn7b","CLDN7","ENSG00000181885",1366
"wnt3a","WNT3A","ENSG00000154342",89780
"lima1a","LIMA1","ENSG00000050405",51474
"stard3","STARD3","ENSG00000131748",10948
"star","STAR","ENSG00000147465",6770
"atp1b3b","ATP1B3","ENSG00000069849",483
"atp1b2a","ATP1B2","ENSG00000129244",482
"atp1b1a","ATP1B1","ENSG00000143153",481
"atp1b1b","ATP1B1","ENSG00000143153",481
"efna5a","EFNA5","ENSG00000184349",1946
"plp1a","PLP1","ENSG00000123560",5354
"csf1ra","CSF1R","ENSG00000182578",1436
"gch2","GCH1","ENSG00000131979",2643
"ctsk","CTSK","ENSG00000143387",1513
"lbx2","LBX2","ENSG00000179528",85474
"supt5h","SUPT5H","ENSG00000196235",6829
"arnt2","ARNT2","ENSG00000172379",9915
"psmb9b","PSMB9","ENSG00000242711",5698
"psmb9b","PSMB9","ENSG00000239836",5698
"psmb9b","PSMB9","ENSG00000243958",5698
"psmb9b","PSMB9","ENSG00000240118",5698
"psmb9b","PSMB9","ENSG00000240508",5698
"psmb9b","PSMB9","ENSG00000243594",5698
"psmb9b","PSMB9","ENSG00000243067",5698
"psmb9b","PSMB9","ENSG00000240065",5698
"psmb7","PSMB7","ENSG00000136930",5695
"atp1a1a.1","ATP1A1","ENSG00000163399",476
"atp1a1a.2","ATP1A1","ENSG00000163399",476
"atp1a1a.3","ATP1A1","ENSG00000163399",476
"atp1a1a.4","ATP1A1","ENSG00000163399",476
"atp1a1b","ATP1A1","ENSG00000163399",476
"atp1a2a","ATP1A2","ENSG00000018625",477
"atp1a3a","ATP1A3","ENSG00000105409",478
"atp1a3b","ATP1A3","ENSG00000105409",478
"htatip2","HTATIP2","ENSG00000109854",10553
"nrf1","NRF1","ENSG00000106459",4899
"vsx2","VSX2","ENSG00000119614",338917
"eomesa","EOMES","ENSG00000163508",8320
"s1pr1","S1PR1","ENSG00000170989",1901
"alas2","ALAS2","ENSG00000158578",212
"alas1","ALAS1","ENSG00000023330",211
"dcn","DCN","ENSG00000011465",1634
"vent","VENTX","ENSG00000151650",27287
"hsd17b8","HSD17B8","ENSG00000228357",7923
"hsd17b8","HSD17B8","ENSG00000225312",7923
"hsd17b8","HSD17B8","ENSG00000232357",7923
"hsd17b8","HSD17B8","ENSG00000112474",7923
"hsd17b8","HSD17B8","ENSG00000228712",7923
"hsd17b8","HSD17B8","ENSG00000204228",7923
"tapbp.1","TAPBP","ENSG00000236490",6892
"tapbp.1","TAPBP","ENSG00000206208",6892
"tapbp.1","TAPBP","ENSG00000206281",6892
"tapbp.1","TAPBP","ENSG00000112493",6892
"tapbp.1","TAPBP","ENSG00000231925",6892
"daxx","DAXX","ENSG00000206206",1616
"daxx","DAXX","ENSG00000206206",113523636
"daxx","DAXX","ENSG00000231617",1616
"daxx","DAXX","ENSG00000231617",113523636
"daxx","DAXX","ENSG00000229396",113523636
"daxx","DAXX","ENSG00000206279",1616
"daxx","DAXX","ENSG00000206279",113523636
"daxx","DAXX","ENSG00000227046",1616
"daxx","DAXX","ENSG00000227046",113523636
"daxx","DAXX","ENSG00000204209",1616
"zbtb22b","ZBTB22","ENSG00000227780",9278
"zbtb22b","ZBTB22","ENSG00000237056",9278
"zbtb22b","ZBTB22","ENSG00000206280",9278
"zbtb22b","ZBTB22","ENSG00000229253",9278
"zbtb22b","ZBTB22","ENSG00000236104",9278
"sox19b","SOX15","ENSG00000129194",6665
"fgf8b","FGF8","ENSG00000107831",2253
"oprm1","OPRM1","ENSG00000112038",4988
"ntrk2a","NTRK2","ENSG00000148053",4915
"ntrk2b","NTRK2","ENSG00000148053",4915
"ntrk3a","NTRK3","ENSG00000140538",4916
"ntrk3b","NTRK3","ENSG00000140538",4916
"klf17","KLF17","ENSG00000171872",128209
"ctbp1","CTBP1","ENSG00000159692",1487
"ctbp2a","CTBP2","ENSG00000175029",1488
"rgl2","RGL2","ENSG00000237825",5863
"rgl2","RGL2","ENSG00000228736",5863
"rgl2","RGL2","ENSG00000206282",5863
"rgl2","RGL2","ENSG00000224841",5863
"rgl2","RGL2","ENSG00000237441",5863
"cdk5","CDK5","ENSG00000164885",1020
"rpa2","RPA2","ENSG00000117748",6118
"mdkb","MDK","ENSG00000110492",4192
"prss1","PRSS1","ENSG00000274247",5644
"prss1","PRSS1","ENSG00000204983",5644
"ctsd","CTSD","ENSG00000117984",1509
"six4b","SIX4","ENSG00000100625",51804
"six4a","SIX4","ENSG00000100625",51804
"six5","SIX5","ENSG00000177045",147912
"mapk8b","MAPK8","ENSG00000107643",5599
"mapk14a","MAPK14","ENSG00000112062",1432
"map2k6","MAP2K6","ENSG00000108984",5608
"gcga","GCG","ENSG00000115263",2641
"gdnfa","GDNF","ENSG00000168621",2668
"gfra1a","GFRA1","ENSG00000151892",2674
"gfra1b","GFRA1","ENSG00000151892",2674
"foxc1a","FOXC1","ENSG00000054598",2296
"foxc1b","FOXC1","ENSG00000054598",2296
"agxtb","AGXT","ENSG00000172482",189
"cyp11a1","CYP11A1","ENSG00000288362",1583
"cyp11a1","CYP11A1","ENSG00000140459",1583
"slit2","SLIT2","ENSG00000145147",9353
"slit3","SLIT3","ENSG00000184347",6586
"slc6a3","SLC6A3","ENSG00000276996",NA
"slc6a3","SLC6A3","ENSG00000142319",6531
"dvl3a","DVL3","ENSG00000161202",1857
"ttc7a","TTC7A","ENSG00000068724",57217
"nacc1a","NACC1","ENSG00000160877",112939
"siah1","SIAH1","ENSG00000196470",6477
"pard6gb","PARD6G","ENSG00000178184",84552
"cdk1","CDK1","ENSG00000170312",983
"cdk7","CDK7","ENSG00000277273",1022
"cdk7","CDK7","ENSG00000134058",1022
"enah","ENAH","ENSG00000154380",55740
"papss2b","PAPSS2","ENSG00000198682",9060
"cldn1","CLDN1","ENSG00000163347",9076
"cldn11b","CLDN11","ENSG00000013297",5010
"cldn12","CLDN12","ENSG00000157224",9069
"hip1","HIP1","ENSG00000127946",3092
"baz1b","BAZ1B","ENSG00000009954",9031
"bcl7bb","BCL7B","ENSG00000106635",9275
"gtf2ird1","GTF2IRD1","ENSG00000006704",9569
"eif4h","EIF4H","ENSG00000106682",7458
"cldnh","CLDN3","ENSG00000165215",1365
"crx","CRX","ENSG00000105392",1406
"nkx2.1","NKX2-1","ENSG00000136352",7080
"anxa13","ANXA13","ENSG00000104537",312
"ncoa2","NCOA2","ENSG00000140396",10499
"vipr2","VIPR2","ENSG00000106018",7434
"dhfr","DHFR","ENSG00000228716",1719
"glrba","GLRB","ENSG00000109738",2743
"glra4a","GLRA4","ENSG00000188828",NA
"six2a","SIX2","ENSG00000170577",10736
"ssr2","SSR2","ENSG00000163479",6746
"bambia","BAMBI","ENSG00000095739",25805
"dmd","DMD","ENSG00000198947",1756
"cry1a","CRY1","ENSG00000008405",1407
"cry1b","CRY1","ENSG00000008405",1407
"cry3a","CRY1","ENSG00000008405",1407
"cry3b","CRY1","ENSG00000008405",1407
"cry2","CRY2","ENSG00000121671",1408
"vps52","VPS52","ENSG00000223618",6293
"vps52","VPS52","ENSG00000228425",6293
"vps52","VPS52","ENSG00000224455",6293
"vps52","VPS52","ENSG00000236014",6293
"vps52","VPS52","ENSG00000206286",6293
"vps52","VPS52","ENSG00000225590",6293
"vps52","VPS52","ENSG00000223501",6293
"mut","MMUT","ENSG00000146085",4594
"ppt2b","PPT2","ENSG00000236649",9374
"ppt2b","PPT2","ENSG00000168452",9374
"ppt2b","PPT2","ENSG00000227600",9374
"ppt2b","PPT2","ENSG00000231618",9374
"ppt2b","PPT2","ENSG00000228116",9374
"ppt2b","PPT2","ENSG00000206256",9374
"ppt2b","PPT2","ENSG00000206329",9374
"ppt2b","PPT2","ENSG00000221988",9374
"skiv2l","SKIV2L","ENSG00000228896",6499
"skiv2l","SKIV2L","ENSG00000232616",6499
"skiv2l","SKIV2L","ENSG00000223493",6499
"skiv2l","SKIV2L","ENSG00000225737",6499
"skiv2l","SKIV2L","ENSG00000206353",6499
"skiv2l","SKIV2L","ENSG00000204351",6499
"prrc2a","PRRC2A","ENSG00000231825",7916
"prrc2a","PRRC2A","ENSG00000225748",7916
"prrc2a","PRRC2A","ENSG00000226618",7916
"prrc2a","PRRC2A","ENSG00000231370",7916
"prrc2a","PRRC2A","ENSG00000225164",7916
"prrc2a","PRRC2A","ENSG00000206427",7916
"prrc2a","PRRC2A","ENSG00000204469",7916
"bag6","BAG6","ENSG00000233348",7917
"bag6","BAG6","ENSG00000234651",7917
"bag6","BAG6","ENSG00000228760",7917
"bag6","BAG6","ENSG00000227761",7917
"bag6","BAG6","ENSG00000229524",7917
"bag6","BAG6","ENSG00000096155",7917
"bag6","BAG6","ENSG00000204463",7917
"ehmt2","EHMT2","ENSG00000232045",10919
"ehmt2","EHMT2","ENSG00000224143",10919
"ehmt2","EHMT2","ENSG00000238134",10919
"ehmt2","EHMT2","ENSG00000227333",10919
"ehmt2","EHMT2","ENSG00000236759",10919
"ehmt2","EHMT2","ENSG00000206376",10919
"ehmt2","EHMT2","ENSG00000204371",10919
"hmga1a","HMGA1","ENSG00000137309",3159
"ucp1","UCP1","ENSG00000109424",7350
"nr5a1a","NR5A1","ENSG00000136931",2516
"clic3","CLIC3","ENSG00000169583",9022
"bco1","BCO1","ENSG00000135697",53630
"twsg1a","TWSG1","ENSG00000128791",57045
"cp","CP","ENSG00000047457",1356
"slc4a1a","SLC4A1","ENSG00000004939",6521
"vars1","VARS1","ENSG00000231116",7407
"vars1","VARS1","ENSG00000231945",7407
"vars1","VARS1","ENSG00000224264",7407
"vars1","VARS1","ENSG00000096171",7407
"vars1","VARS1","ENSG00000226589",7407
"vars1","VARS1","ENSG00000227686",7407
"vars1","VARS1","ENSG00000204394",7407
"abhd16a","ABHD16A","ENSG00000230475",7920
"abhd16a","ABHD16A","ENSG00000236063",7920
"abhd16a","ABHD16A","ENSG00000231488",7920
"abhd16a","ABHD16A","ENSG00000224552",7920
"abhd16a","ABHD16A","ENSG00000235676",7920
"abhd16a","ABHD16A","ENSG00000206403",7920
"abhd16a","ABHD16A","ENSG00000204427",7920
"mafa","MAF","ENSG00000178573",4094
"mafaa","MAFA","ENSG00000182759",389692
"mafbb","MAFB","ENSG00000204103",9935
"cdh1","CDH1","ENSG00000039068",999
"ube2ia","UBE2I","ENSG00000103275",7329
"igf1","IGF1","ENSG00000017427",3479
"gja8b","GJA8","ENSG00000121634",2703
"neurod6a","NEUROD6","ENSG00000164600",63974
"neurod6b","NEUROD6","ENSG00000164600",63974
"neurod2","NEUROD2","ENSG00000171532",4761
"neurog3","NEUROG3","ENSG00000122859",50674
"cxcr4b","CXCR4","ENSG00000121966",7852
"efnb2b","EFNB2","ENSG00000125266",1948
"efnb1","EFNB1","ENSG00000090776",1947
"efnb3b","EFNB3","ENSG00000108947",1949
"gjb1a","GJB1","ENSG00000169562",2705
"gja9a","GJA9","ENSG00000131233",81025
"zeb1b","ZEB1","ENSG00000148516",6935
"dusp5","DUSP5","ENSG00000138166",1847
"lmo4a","LMO4","ENSG00000143013",8543
"gng3","GNG3","ENSG00000162188",2785
"cnmd","CNMD","ENSG00000136110",11061
"irx1b","IRX1","ENSG00000170549",79192
"irx5a","IRX5","ENSG00000176842",10265
"lcat","LCAT","ENSG00000213398",3931
"znf703","ZNF703","ENSG00000183779",80139
"atp1b2b","ATP1B2","ENSG00000129244",482
"blzf1","BLZF1","ENSG00000117475",8548
"epha3","EPHA3","ENSG00000044524",2042
"ppp1r12c","PPP1R12C","ENSG00000125503",54776
"casq2","CASQ2","ENSG00000118729",845
"ddah1","DDAH1","ENSG00000153904",23576
"ceacam1","CEACAM1","ENSG00000079385",634
"rps9","RPS9","ENSG00000278081",6203
"rps9","RPS9","ENSG00000274626",6203
"rps9","RPS9","ENSG00000274646",6203
"rps9","RPS9","ENSG00000274950",6203
"rps9","RPS9","ENSG00000277079",6203
"rps9","RPS9","ENSG00000278270",6203
"rps9","RPS9","ENSG00000277359",6203
"rps9","RPS9","ENSG00000274005",6203
"rps9","RPS9","ENSG00000275323",6203
"rps9","RPS9","ENSG00000170889",6203
"dnase2","DNASE2","ENSG00000105612",1777
"erf","ERF","ENSG00000105722",2077
"apoea","APOE","ENSG00000130203",348
"capn9","CAPN9","ENSG00000135773",10753
"sec22ba","SEC22B","ENSG00000265808",9554
"mpz","MPZ","ENSG00000158887",4359
"arf1","ARF1","ENSG00000143761",375
"fh","FH","ENSG00000091483",2271
"copb2","COPB2","ENSG00000184432",9276
"dlg1","DLG1","ENSG00000075711",1739
"arpc4","ARPC4","ENSG00000241553",10093
"btg1","BTG1","ENSG00000133639",694
"etv6","ETV6","ENSG00000139083",2120
"bcl2l1","BCL2L1","ENSG00000171552",598
"tnfsf10l","TNFSF10","ENSG00000121858",8743
"sim2","SIM2","ENSG00000159263",6493
"spry4","SPRY4","ENSG00000187678",81848
"crybb1","CRYBB1","ENSG00000100122",1414
"f7","F7","ENSG00000057593",2155
"odc1","ODC1","ENSG00000115758",4953
"angpt1","ANGPT1","ENSG00000154188",284
"angpt2b","ANGPT2","ENSG00000091879",285
"angptl3","ANGPTL3","ENSG00000132855",27329
"ncam2","NCAM2","ENSG00000154654",4685
"ncam1b","NCAM1","ENSG00000149294",4684
"bivm","BIVM","ENSG00000134897",54841
"ache","ACHE","ENSG00000087085",43
"ednraa","EDNRA","ENSG00000151617",1909
"pklr","PKLR","ENSG00000262785",5313
"pklr","PKLR","ENSG00000143627",5313
"mitfb","MITF","ENSG00000187098",4286
"tfe3a","TFE3","ENSG00000068323",7030
"tfe3b","TFE3","ENSG00000068323",7030
"adh5","ADH5","ENSG00000197894",128
"ndufb5","NDUFB5","ENSG00000136521",4711
"gabpa","GABPA","ENSG00000154727",2551
"aldh1a2","ALDH1A2","ENSG00000128918",8854
"smad6a","SMAD6","ENSG00000137834",4091
"cldn8","CLDN8","ENSG00000156284",9073
"cct6a","CCT6A","ENSG00000146731",908
"ugdh","UGDH","ENSG00000109814",7358
"vcana","VCAN","ENSG00000038427",1462
"dcc","DCC","ENSG00000187323",1630
"mab21l2","MAB21L2","ENSG00000181541",10586
"ngb","NGB","ENSG00000165553",58157
"prkci","PRKCI","ENSG00000163558",5584
"efna3b","EFNA3","ENSG00000143590",1944
"sfrp5","SFRP5","ENSG00000120057",6425
"klf2a","KLF2","ENSG00000127528",10365
"klf2b","KLF2","ENSG00000127528",10365
"ywhag1","YWHAG","ENSG00000170027",7532
"klf3","KLF3","ENSG00000109787",51274
"gpc4","GPC4","ENSG00000076716",2239
"hsf2","HSF2","ENSG00000025156",3298
"gnat2","GNAT2","ENSG00000134183",2780
"gnat1","GNAT1","ENSG00000114349",2779
"jag1a","JAG1","ENSG00000101384",182
"jag2b","JAG2","ENSG00000184916",3714
"jag1b","JAG1","ENSG00000101384",182
"guca1a","GUCA1A","ENSG00000048545",2978
"guca1b","GUCA1B","ENSG00000112599",2979
"gucy2f","GUCY2D","ENSG00000132518",3000
"gucy2d","GUCY2D","ENSG00000132518",3000
"sox10","SOX10","ENSG00000100146",6663
"casp3a","CASP3","ENSG00000164305",836
"xbp1","XBP1","ENSG00000100219",7494
"fads2","FADS2","ENSG00000134824",9415
"rab2a","RAB2A","ENSG00000104388",5862
"vim","VIM","ENSG00000026025",7431
"atic","ATIC","ENSG00000138363",471
"prps1a","PRPS1","ENSG00000147224",5631
"tfap2a","TFAP2A","ENSG00000137203",7020
"her9","HES4","ENSG00000188290",57801
"cyp1a","CYP1A1","ENSG00000140465",1543
"per1a","PER1","ENSG00000179094",5187
"per2","PER2","ENSG00000132326",8864
"nanos3","NANOS3","ENSG00000288505",342977
"nanos3","NANOS3","ENSG00000187556",342977
"cxcr4a","CXCR4","ENSG00000121966",7852
"ckbb","CKB","ENSG00000166165",1152
"hnf1ba","HNF1B","ENSG00000276194",6928
"hnf1ba","HNF1B","ENSG00000275410",6928
"ptpra","PTPRA","ENSG00000132670",5786
"ptprfa","PTPRF","ENSG00000142949",5792
"psap","PSAP","ENSG00000197746",5660
"ryr1a","RYR1","ENSG00000196218",6261
"lactb","LACTB","ENSG00000103642",114294
"cebpa","CEBPA","ENSG00000245848",1050
"cebpb","CEBPB","ENSG00000172216",1051
"cebpd","CEBPD","ENSG00000221869",1052
"cebpg","CEBPG","ENSG00000153879",1054
"ptk2ab","PTK2","ENSG00000169398",5747
"dmbx1a","DMBX1","ENSG00000197587",127343
"gbx1","GBX1","ENSG00000164900",2636
"meis1b","MEIS1","ENSG00000143995",4211
"meis2a","MEIS2","ENSG00000134138",4212
"meis1a","MEIS1","ENSG00000143995",4211
"pknox1.1","PKNOX1","ENSG00000160199",5316
"pknox1.2","PKNOX1","ENSG00000160199",5316
"s1pr2","S1PR2","ENSG00000267534",9294
"gria1a","GRIA1","ENSG00000155511",2890
"gria1b","GRIA1","ENSG00000155511",2890
"gria2a","GRIA2","ENSG00000120251",2891
"gria2b","GRIA2","ENSG00000120251",2891
"gria3a","GRIA3","ENSG00000125675",2892
"gria4a","GRIA4","ENSG00000152578",2893
"cacna1c","CACNA1C","ENSG00000285479",775
"cacna1c","CACNA1C","ENSG00000151067",775
"ube4b","UBE4B","ENSG00000130939",10277
"tlx2","TLX2","ENSG00000115297",3196
"mkrn1","MKRN1","ENSG00000133606",23608
"mkrn2","MKRN2","ENSG00000075975",23609
"appb","APP","ENSG00000142192",351
"spns1","SPNS1","ENSG00000169682",83985
"sall1a","SALL1","ENSG00000103449",6299
"sall1b","SALL1","ENSG00000103449",6299
"sall3a","SALL3","ENSG00000277015",27164
"sall3a","SALL3","ENSG00000263310",27164
"sall3a","SALL3","ENSG00000256463",27164
"phc2a","PHC2","ENSG00000134686",1912
"fabp3","FABP3","ENSG00000121769",2170
"fabp1a","FABP1","ENSG00000163586",2168
"rbp5","RBP5","ENSG00000288369",83758
"rbp5","RBP5","ENSG00000139194",83758
"rbp2a","RBP2","ENSG00000114113",5948
"crabp1a","CRABP1","ENSG00000166426",1381
"crabp2a","CRABP2","ENSG00000143320",1382
