# SignalP-5.0	Organism: Eukarya	Timestamp: 20230728094043
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
ENSDART00000031205	SP(Sec/SPI)	0.632693	0.367307	CS pos: 36-37. VYG-SQ. Pr: 0.5813
ENSDART00000032389	OTHER	0.002828	0.997172	
ENSDART00000033848	OTHER	0.003363	0.996637	
ENSDART00000034704	OTHER	0.013643	0.986357	
ENSDART00000034953	OTHER	0.008154	0.991846	
ENSDART00000038487	OTHER	0.001857	0.998143	
ENSDART00000038828	OTHER	0.001879	0.998121	
ENSDART00000039312	OTHER	0.000396	0.999604	
ENSDART00000039640	OTHER	0.002457	0.997543	
ENSDART00000039827	OTHER	0.000311	0.999689	
ENSDART00000039887	OTHER	0.002447	0.997553	
ENSDART00000040445	OTHER	0.016047	0.983953	
ENSDART00000040740	OTHER	0.000765	0.999235	
ENSDART00000041257	OTHER	0.000589	0.999411	
ENSDART00000041476	OTHER	0.001889	0.998111	
ENSDART00000041503	OTHER	0.001218	0.998782	
ENSDART00000042040	OTHER	0.001003	0.998997	
ENSDART00000042115	OTHER	0.052480	0.947520	
ENSDART00000042307	OTHER	0.001020	0.998980	
ENSDART00000042377	OTHER	0.000683	0.999317	
ENSDART00000042481	OTHER	0.002771	0.997229	
ENSDART00000042704	OTHER	0.000685	0.999315	
ENSDART00000042766	OTHER	0.001196	0.998804	
ENSDART00000043802	OTHER	0.005184	0.994816	
ENSDART00000044083	OTHER	0.000414	0.999586	
ENSDART00000044599	OTHER	0.006967	0.993033	
ENSDART00000044970	OTHER	0.000508	0.999492	
ENSDART00000045111	OTHER	0.000439	0.999561	
ENSDART00000046079	OTHER	0.001223	0.998777	
ENSDART00000046157	OTHER	0.000956	0.999044	
ENSDART00000046613	OTHER	0.008433	0.991567	
ENSDART00000046663	OTHER	0.001010	0.998990	
ENSDART00000046712	OTHER	0.000905	0.999095	
ENSDART00000046889	OTHER	0.001901	0.998099	
ENSDART00000047008	OTHER	0.000875	0.999125	
ENSDART00000047211	OTHER	0.070401	0.929599	
ENSDART00000048445	SP(Sec/SPI)	0.939670	0.060330	CS pos: 21-22. AWT-EK. Pr: 0.7098
ENSDART00000048775	OTHER	0.000710	0.999290	
ENSDART00000049226	OTHER	0.000531	0.999469	
ENSDART00000049236	OTHER	0.000373	0.999627	
ENSDART00000049328	OTHER	0.003632	0.996368	
ENSDART00000049437	OTHER	0.000258	0.999742	
ENSDART00000050750	OTHER	0.000989	0.999011	
ENSDART00000051182	OTHER	0.000282	0.999718	
ENSDART00000051186	OTHER	0.000940	0.999060	
ENSDART00000051357	OTHER	0.000718	0.999282	
ENSDART00000051403	OTHER	0.001868	0.998132	
ENSDART00000052001	OTHER	0.000543	0.999457	
ENSDART00000052268	OTHER	0.003395	0.996605	
ENSDART00000052354	OTHER	0.001532	0.998468	
ENSDART00000052539	OTHER	0.000521	0.999479	
ENSDART00000052562	OTHER	0.000556	0.999444	
ENSDART00000052915	OTHER	0.001884	0.998116	
ENSDART00000052949	OTHER	0.001086	0.998914	
ENSDART00000053045	OTHER	0.001359	0.998641	
ENSDART00000053187	OTHER	0.001159	0.998841	
ENSDART00000053542	OTHER	0.000979	0.999021	
ENSDART00000053926	OTHER	0.001961	0.998039	
ENSDART00000054274	OTHER	0.004043	0.995957	
ENSDART00000054803	OTHER	0.000308	0.999692	
ENSDART00000055266	OTHER	0.000608	0.999392	
ENSDART00000055279	OTHER	0.004689	0.995311	
ENSDART00000055299	SP(Sec/SPI)	0.921767	0.078233	CS pos: 23-24. ING-VG. Pr: 0.7031
ENSDART00000055379	SP(Sec/SPI)	0.954211	0.045789	CS pos: 18-19. CSP-AE. Pr: 0.3608
ENSDART00000056080	SP(Sec/SPI)	0.831646	0.168354	CS pos: 21-22. CFG-FT. Pr: 0.4637
ENSDART00000056081	SP(Sec/SPI)	0.831646	0.168354	CS pos: 21-22. CFG-FT. Pr: 0.4637
ENSDART00000056103	SP(Sec/SPI)	0.996922	0.003078	CS pos: 21-22. VYG-QE. Pr: 0.9665
ENSDART00000056420	OTHER	0.000327	0.999673	
ENSDART00000056432	OTHER	0.000921	0.999079	
ENSDART00000056846	OTHER	0.003323	0.996677	
ENSDART00000057611	OTHER	0.001301	0.998699	
ENSDART00000057710	OTHER	0.000610	0.999390	
ENSDART00000058238	OTHER	0.000509	0.999491	
ENSDART00000058311	SP(Sec/SPI)	0.962281	0.037719	CS pos: 22-23. GHS-EE. Pr: 0.9122
ENSDART00000058485	OTHER	0.001307	0.998693	
ENSDART00000058487	OTHER	0.001307	0.998693	
ENSDART00000058774	SP(Sec/SPI)	0.985174	0.014826	CS pos: 22-23. CRC-SD. Pr: 0.8674
ENSDART00000059195	OTHER	0.000830	0.999170	
ENSDART00000059262	OTHER	0.000804	0.999196	
ENSDART00000059402	OTHER	0.000464	0.999536	
ENSDART00000059795	SP(Sec/SPI)	0.967610	0.032390	CS pos: 20-21. VDT-IY. Pr: 0.6348
ENSDART00000059928	OTHER	0.094100	0.905900	
ENSDART00000060054	SP(Sec/SPI)	0.961316	0.038684	CS pos: 24-25. IRG-SL. Pr: 0.5209
ENSDART00000060145	OTHER	0.000892	0.999108	
ENSDART00000060545	OTHER	0.001764	0.998236	
ENSDART00000060630	OTHER	0.000822	0.999178	
ENSDART00000060633	OTHER	0.004752	0.995248	
ENSDART00000060826	OTHER	0.001109	0.998891	
ENSDART00000060865	OTHER	0.001723	0.998277	
ENSDART00000061633	OTHER	0.000770	0.999230	
ENSDART00000061726	OTHER	0.001062	0.998938	
ENSDART00000062292	OTHER	0.000818	0.999182	
ENSDART00000062336	OTHER	0.006349	0.993651	
ENSDART00000062343	OTHER	0.002550	0.997450	
ENSDART00000062402	OTHER	0.000114	0.999886	
ENSDART00000062654	OTHER	0.000531	0.999469	
ENSDART00000062749	SP(Sec/SPI)	0.581584	0.418416	CS pos: 31-32. VAS-ES. Pr: 0.3287
ENSDART00000062795	OTHER	0.001538	0.998462	
ENSDART00000062850	OTHER	0.001281	0.998719	
ENSDART00000063096	OTHER	0.023645	0.976355	
ENSDART00000063120	OTHER	0.000898	0.999102	
ENSDART00000063398	OTHER	0.001758	0.998242	
ENSDART00000063539	OTHER	0.001168	0.998832	
ENSDART00000063738	OTHER	0.000753	0.999247	
ENSDART00000064614	OTHER	0.000436	0.999564	
ENSDART00000064662	OTHER	0.000290	0.999710	
ENSDART00000065262	OTHER	0.002197	0.997803	
ENSDART00000065385	OTHER	0.005492	0.994508	
ENSDART00000065507	OTHER	0.351266	0.648734	
ENSDART00000065889	OTHER	0.246766	0.753234	
ENSDART00000065985	SP(Sec/SPI)	0.999609	0.000391	CS pos: 17-18. SLA-QD. Pr: 0.9659
ENSDART00000066123	OTHER	0.000442	0.999558	
ENSDART00000066294	OTHER	0.001124	0.998876	
ENSDART00000066477	SP(Sec/SPI)	0.927943	0.072057	CS pos: 22-23. VAG-ST. Pr: 0.7884
ENSDART00000066759	OTHER	0.025265	0.974735	
ENSDART00000066903	OTHER	0.004418	0.995582	
ENSDART00000067059	OTHER	0.278096	0.721904	
ENSDART00000067177	OTHER	0.004357	0.995643	
ENSDART00000067256	OTHER	0.001182	0.998818	
ENSDART00000067397	OTHER	0.002041	0.997959	
ENSDART00000067560	OTHER	0.000531	0.999469	
ENSDART00000067621	OTHER	0.000146	0.999854	
ENSDART00000067733	OTHER	0.000642	0.999358	
ENSDART00000073447	OTHER	0.000247	0.999753	
ENSDART00000073478	OTHER	0.000352	0.999648	
ENSDART00000073502	OTHER	0.001419	0.998581	
ENSDART00000073903	OTHER	0.002103	0.997897	
ENSDART00000073985	OTHER	0.001059	0.998941	
ENSDART00000074155	OTHER	0.000606	0.999394	
ENSDART00000074161	OTHER	0.000384	0.999616	
ENSDART00000074284	OTHER	0.000697	0.999303	
ENSDART00000074422	OTHER	0.003132	0.996868	
ENSDART00000074567	OTHER	0.000625	0.999375	
ENSDART00000074729	OTHER	0.000579	0.999421	
ENSDART00000075142	OTHER	0.008031	0.991969	
ENSDART00000075263	OTHER	0.000672	0.999328	
ENSDART00000075432	OTHER	0.000536	0.999464	
ENSDART00000075500	SP(Sec/SPI)	0.989049	0.010951	CS pos: 20-21. VEF-CV. Pr: 0.3669
ENSDART00000075624	OTHER	0.001074	0.998926	
ENSDART00000077172	OTHER	0.001722	0.998278	
ENSDART00000077647	SP(Sec/SPI)	0.834270	0.165730	CS pos: 24-25. SLA-DA. Pr: 0.2176
ENSDART00000077724	OTHER	0.001271	0.998729	
ENSDART00000077734	OTHER	0.000315	0.999685	
ENSDART00000077883	OTHER	0.001234	0.998766	
ENSDART00000078151	OTHER	0.006365	0.993635	
ENSDART00000078206	OTHER	0.000439	0.999561	
ENSDART00000078306	OTHER	0.000748	0.999252	
ENSDART00000078334	OTHER	0.022114	0.977886	
ENSDART00000078540	OTHER	0.000934	0.999066	
ENSDART00000078568	OTHER	0.000569	0.999431	
ENSDART00000078656	OTHER	0.001618	0.998382	
ENSDART00000078708	OTHER	0.004032	0.995968	
ENSDART00000078767	OTHER	0.001958	0.998042	
ENSDART00000079016	OTHER	0.000504	0.999496	
ENSDART00000079130	OTHER	0.000614	0.999386	
ENSDART00000079294	OTHER	0.006646	0.993354	
ENSDART00000079397	SP(Sec/SPI)	0.914350	0.085650	CS pos: 44-45. CLA-NP. Pr: 0.5370
ENSDART00000079443	SP(Sec/SPI)	0.975438	0.024562	CS pos: 27-28. SEA-EV. Pr: 0.6984
ENSDART00000079469	SP(Sec/SPI)	0.915729	0.084271	CS pos: 31-32. VLC-QT. Pr: 0.7327
ENSDART00000079538	OTHER	0.000342	0.999658	
ENSDART00000079582	SP(Sec/SPI)	0.962202	0.037798	CS pos: 23-24. VFS-GP. Pr: 0.8442
ENSDART00000079703	OTHER	0.000610	0.999390	
ENSDART00000079724	OTHER	0.000601	0.999399	
ENSDART00000079866	OTHER	0.005518	0.994482	
ENSDART00000080135	OTHER	0.000773	0.999227	
ENSDART00000080487	OTHER	0.001757	0.998243	
ENSDART00000080834	OTHER	0.000300	0.999700	
ENSDART00000080854	OTHER	0.000364	0.999636	
ENSDART00000081072	OTHER	0.003253	0.996747	
ENSDART00000081759	SP(Sec/SPI)	0.832085	0.167915	CS pos: 29-30. CRG-AI. Pr: 0.3764
ENSDART00000081796	OTHER	0.001212	0.998788	
ENSDART00000081909	OTHER	0.002716	0.997284	
ENSDART00000082110	OTHER	0.001667	0.998333	
ENSDART00000083255	OTHER	0.002847	0.997153	
ENSDART00000083308	SP(Sec/SPI)	0.983055	0.016945	CS pos: 27-28. SLA-LS. Pr: 0.5955
ENSDART00000083427	OTHER	0.070421	0.929579	
ENSDART00000083431	OTHER	0.001058	0.998942	
ENSDART00000083593	SP(Sec/SPI)	0.983602	0.016398	CS pos: 21-22. VQS-KP. Pr: 0.5693
ENSDART00000084186	OTHER	0.003238	0.996762	
ENSDART00000084965	OTHER	0.002293	0.997707	
ENSDART00000085203	SP(Sec/SPI)	0.637897	0.362103	CS pos: 24-25. TRS-TV. Pr: 0.2831
ENSDART00000085416	OTHER	0.000452	0.999548	
ENSDART00000085528	OTHER	0.007214	0.992786	
ENSDART00000085612	OTHER	0.002019	0.997981	
ENSDART00000085821	OTHER	0.000204	0.999796	
ENSDART00000086227	SP(Sec/SPI)	0.988981	0.011019	CS pos: 15-16. GAS-LP. Pr: 0.2905
ENSDART00000086301	OTHER	0.000242	0.999758	
ENSDART00000086525	OTHER	0.000656	0.999344	
ENSDART00000086696	OTHER	0.008706	0.991294	
ENSDART00000087040	OTHER	0.001098	0.998902	
ENSDART00000087107	OTHER	0.003074	0.996926	
ENSDART00000087120	OTHER	0.005698	0.994302	
ENSDART00000087196	OTHER	0.001470	0.998530	
ENSDART00000087694	OTHER	0.004468	0.995532	
ENSDART00000087857	OTHER	0.000421	0.999579	
ENSDART00000087926	OTHER	0.002192	0.997808	
ENSDART00000088110	OTHER	0.001505	0.998495	
ENSDART00000088808	OTHER	0.000968	0.999032	
ENSDART00000089015	OTHER	0.004526	0.995474	
ENSDART00000089042	OTHER	0.002474	0.997526	
ENSDART00000089428	OTHER	0.001740	0.998260	
ENSDART00000089528	OTHER	0.450214	0.549786	
ENSDART00000089609	OTHER	0.000634	0.999366	
ENSDART00000089694	OTHER	0.001158	0.998842	
ENSDART00000089898	OTHER	0.227562	0.772438	
ENSDART00000089961	OTHER	0.001911	0.998089	
ENSDART00000089992	OTHER	0.002106	0.997894	
ENSDART00000090221	OTHER	0.000973	0.999027	
ENSDART00000090316	OTHER	0.000393	0.999607	
ENSDART00000090335	OTHER	0.001455	0.998545	
ENSDART00000090657	OTHER	0.000190	0.999810	
ENSDART00000090788	OTHER	0.000327	0.999673	
ENSDART00000090855	SP(Sec/SPI)	0.993936	0.006064	CS pos: 25-26. AWS-LN. Pr: 0.8376
ENSDART00000090883	SP(Sec/SPI)	0.989847	0.010153	CS pos: 21-22. TNS-KK. Pr: 0.9354
ENSDART00000091124	OTHER	0.000684	0.999316	
ENSDART00000091349	OTHER	0.002684	0.997316	
ENSDART00000091662	OTHER	0.000633	0.999367	
ENSDART00000092214	SP(Sec/SPI)	0.764476	0.235524	CS pos: 22-23. VLA-DT. Pr: 0.7149
ENSDART00000092264	OTHER	0.016840	0.983160	
ENSDART00000092426	OTHER	0.020924	0.979076	
ENSDART00000092435	OTHER	0.149582	0.850418	
ENSDART00000092524	OTHER	0.001943	0.998057	
ENSDART00000092646	OTHER	0.005203	0.994797	
ENSDART00000092656	OTHER	0.001886	0.998114	
ENSDART00000093021	OTHER	0.001453	0.998547	
ENSDART00000097583	OTHER	0.002060	0.997940	
ENSDART00000097729	OTHER	0.000720	0.999280	
ENSDART00000097741	OTHER	0.003253	0.996747	
ENSDART00000098265	OTHER	0.008519	0.991481	
ENSDART00000098297	OTHER	0.000295	0.999705	
ENSDART00000098334	OTHER	0.001473	0.998527	
ENSDART00000098467	OTHER	0.136178	0.863822	
ENSDART00000098622	OTHER	0.000358	0.999642	
ENSDART00000098942	OTHER	0.000803	0.999197	
ENSDART00000099023	SP(Sec/SPI)	0.995716	0.004284	CS pos: 17-18. AKA-QL. Pr: 0.9096
ENSDART00000099738	OTHER	0.000553	0.999447	
ENSDART00000099832	OTHER	0.001168	0.998832	
ENSDART00000100351	OTHER	0.000574	0.999426	
ENSDART00000100417	OTHER	0.002288	0.997712	
ENSDART00000100668	OTHER	0.000718	0.999282	
ENSDART00000100746	OTHER	0.001556	0.998444	
ENSDART00000100772	OTHER	0.017359	0.982641	
ENSDART00000100798	OTHER	0.006368	0.993632	
ENSDART00000100800	OTHER	0.001844	0.998156	
ENSDART00000100965	OTHER	0.001872	0.998128	
ENSDART00000100992	OTHER	0.000536	0.999464	
ENSDART00000101044	OTHER	0.000240	0.999760	
ENSDART00000101049	OTHER	0.000114	0.999886	
ENSDART00000101143	SP(Sec/SPI)	0.939670	0.060330	CS pos: 21-22. AWT-EK. Pr: 0.7098
ENSDART00000101154	OTHER	0.016047	0.983953	
ENSDART00000101198	OTHER	0.000203	0.999797	
ENSDART00000101404	OTHER	0.000806	0.999194	
ENSDART00000102081	OTHER	0.000235	0.999765	
ENSDART00000102100	OTHER	0.000354	0.999646	
ENSDART00000102279	SP(Sec/SPI)	0.921769	0.078231	CS pos: 26-27. AHA-CP. Pr: 0.7549
ENSDART00000102554	SP(Sec/SPI)	0.995730	0.004270	CS pos: 23-24. VNG-TN. Pr: 0.9497
ENSDART00000102563	OTHER	0.001608	0.998392	
ENSDART00000102606	OTHER	0.411387	0.588613	
ENSDART00000102706	OTHER	0.001002	0.998998	
ENSDART00000102748	OTHER	0.000848	0.999152	
ENSDART00000102969	SP(Sec/SPI)	0.996336	0.003664	CS pos: 17-18. ASA-RN. Pr: 0.9247
ENSDART00000102994	OTHER	0.000608	0.999392	
ENSDART00000103161	OTHER	0.002105	0.997895	
ENSDART00000103298	OTHER	0.018294	0.981706	
ENSDART00000103405	OTHER	0.000678	0.999322	
ENSDART00000103645	OTHER	0.001720	0.998280	
ENSDART00000103652	SP(Sec/SPI)	0.989712	0.010288	CS pos: 20-21. SQA-AE. Pr: 0.9308
ENSDART00000103971	SP(Sec/SPI)	0.864624	0.135376	CS pos: 41-42. GVC-DV. Pr: 0.3417
ENSDART00000103989	OTHER	0.001853	0.998147	
ENSDART00000104116	OTHER	0.002249	0.997751	
ENSDART00000104256	OTHER	0.007255	0.992745	
ENSDART00000104519	OTHER	0.000364	0.999636	
ENSDART00000104667	OTHER	0.001393	0.998607	
ENSDART00000105415	SP(Sec/SPI)	0.913463	0.086537	CS pos: 22-23. GFC-MR. Pr: 0.4927
ENSDART00000105590	OTHER	0.000290	0.999710	
ENSDART00000105939	SP(Sec/SPI)	0.947165	0.052835	CS pos: 23-24. VYT-DE. Pr: 0.5152
ENSDART00000105967	SP(Sec/SPI)	0.939490	0.060510	CS pos: 28-29. GSA-IQ. Pr: 0.7571
ENSDART00000108492	OTHER	0.001763	0.998237	
ENSDART00000108543	OTHER	0.001387	0.998613	
ENSDART00000108611	SP(Sec/SPI)	0.999138	0.000862	CS pos: 21-22. ASA-QK. Pr: 0.8841
ENSDART00000108647	OTHER	0.001113	0.998887	
ENSDART00000108808	SP(Sec/SPI)	0.986356	0.013644	CS pos: 20-21. MSA-LE. Pr: 0.4356
ENSDART00000109416	OTHER	0.004483	0.995517	
ENSDART00000109463	SP(Sec/SPI)	0.998811	0.001189	CS pos: 19-20. VQS-RP. Pr: 0.9758
ENSDART00000109546	SP(Sec/SPI)	0.927674	0.072326	CS pos: 29-30. IHA-DG. Pr: 0.6634
ENSDART00000109563	SP(Sec/SPI)	0.910760	0.089240	CS pos: 26-27. CNA-LN. Pr: 0.8782
ENSDART00000109567	OTHER	0.000977	0.999023	
ENSDART00000109640	OTHER	0.007447	0.992553	
ENSDART00000109667	OTHER	0.006345	0.993655	
ENSDART00000109714	OTHER	0.000893	0.999107	
ENSDART00000109926	OTHER	0.039684	0.960316	
ENSDART00000110136	OTHER	0.321328	0.678672	
ENSDART00000110137	OTHER	0.000526	0.999474	
ENSDART00000110204	OTHER	0.000934	0.999066	
ENSDART00000110261	OTHER	0.000539	0.999461	
ENSDART00000110777	OTHER	0.000929	0.999071	
ENSDART00000110884	OTHER	0.004814	0.995186	
ENSDART00000110922	OTHER	0.002352	0.997648	
ENSDART00000110923	OTHER	0.000653	0.999347	
ENSDART00000111055	OTHER	0.001534	0.998466	
ENSDART00000111111	SP(Sec/SPI)	0.906307	0.093693	CS pos: 17-18. ALA-QQ. Pr: 0.7806
ENSDART00000111298	OTHER	0.001109	0.998891	
ENSDART00000111456	OTHER	0.002571	0.997429	
ENSDART00000111480	OTHER	0.003044	0.996956	
ENSDART00000111571	OTHER	0.003765	0.996235	
ENSDART00000111679	OTHER	0.002677	0.997323	
ENSDART00000111686	OTHER	0.032436	0.967564	
ENSDART00000111763	OTHER	0.003607	0.996393	
ENSDART00000112113	OTHER	0.008648	0.991352	
ENSDART00000112152	OTHER	0.008747	0.991253	
ENSDART00000112312	OTHER	0.020937	0.979063	
ENSDART00000112345	OTHER	0.004446	0.995554	
ENSDART00000112377	OTHER	0.001081	0.998919	
ENSDART00000112417	OTHER	0.056076	0.943924	
ENSDART00000112453	OTHER	0.000934	0.999066	
ENSDART00000112468	SP(Sec/SPI)	0.954968	0.045032	CS pos: 25-26. TLA-LP. Pr: 0.7197
ENSDART00000112469	OTHER	0.000582	0.999418	
ENSDART00000112483	OTHER	0.070018	0.929982	
ENSDART00000112484	OTHER	0.327773	0.672227	
ENSDART00000112541	OTHER	0.000335	0.999665	
ENSDART00000112553	OTHER	0.000567	0.999433	
ENSDART00000112579	SP(Sec/SPI)	0.897722	0.102278	CS pos: 28-29. VQG-AS. Pr: 0.8538
ENSDART00000112588	OTHER	0.001897	0.998103	
ENSDART00000112598	OTHER	0.001680	0.998320	
ENSDART00000112680	OTHER	0.000453	0.999547	
ENSDART00000112879	OTHER	0.000214	0.999786	
ENSDART00000112881	SP(Sec/SPI)	0.927387	0.072613	CS pos: 30-31. CRG-RP. Pr: 0.8124
ENSDART00000112884	OTHER	0.002548	0.997452	
ENSDART00000112965	OTHER	0.001274	0.998726	
ENSDART00000113014	OTHER	0.001278	0.998722	
ENSDART00000113146	OTHER	0.001673	0.998327	
ENSDART00000113232	OTHER	0.000535	0.999465	
ENSDART00000113351	OTHER	0.003328	0.996672	
ENSDART00000113382	SP(Sec/SPI)	0.582440	0.417560	CS pos: 16-17. GMG-YL. Pr: 0.2327
ENSDART00000113405	OTHER	0.001444	0.998556	
ENSDART00000113574	OTHER	0.000810	0.999190	
ENSDART00000113666	OTHER	0.000547	0.999453	
ENSDART00000113668	OTHER	0.000920	0.999080	
ENSDART00000113799	OTHER	0.001085	0.998915	
ENSDART00000113824	OTHER	0.000816	0.999184	
ENSDART00000113926	OTHER	0.005113	0.994887	
ENSDART00000114008	OTHER	0.000270	0.999730	
ENSDART00000114010	SP(Sec/SPI)	0.988382	0.011618	CS pos: 15-16. GWT-TP. Pr: 0.3931
ENSDART00000114039	SP(Sec/SPI)	0.972028	0.027972	CS pos: 28-29. ANG-QI. Pr: 0.8985
ENSDART00000114040	OTHER	0.000848	0.999152	
ENSDART00000114118	OTHER	0.000471	0.999529	
ENSDART00000114203	SP(Sec/SPI)	0.938166	0.061834	CS pos: 19-20. NDA-AE. Pr: 0.5231
ENSDART00000114212	OTHER	0.036651	0.963349	
ENSDART00000114391	OTHER	0.000734	0.999266	
ENSDART00000114495	OTHER	0.000892	0.999108	
ENSDART00000114560	OTHER	0.000988	0.999012	
ENSDART00000114977	OTHER	0.251517	0.748483	
ENSDART00000115011	SP(Sec/SPI)	0.997006	0.002994	CS pos: 23-24. TAA-QD. Pr: 0.5789
ENSDART00000115138	OTHER	0.004127	0.995873	
ENSDART00000115182	OTHER	0.000677	0.999323	
