"","zfin_id_symbol","Mouse.Symbol"
"454","dcn","Dcn"
"457","hsd17b8","H2-Ke6"
"458","tapbp.1","Tapbp"
"460","daxx","Daxx"
"464","zbtb22b","Zbtb22"
"467","sox19b","Sox15"
"469","fgf8b","Fgf8"
"473","oprm1","Oprm1"
"478","ntrk2a","Ntrk2"
"479","klf17","Klf17"
"480","ctbp1","Ctbp1"
"482","ctbp2a","Ctbp2"
"484","rgl2","Rgl2"
"486","cdk5","Cdk5"
"488","rpa2","Rpa2"
"490","mdkb","Mdk"
"495","ctsd","Ctsd"
"497","six4b","Six4"
"502","six4a","Six4"
"505","six5","Six5"
"507","mapk8b","Mapk8"
"509","mapk14a","Mapk14"
"511","map2k6","Map2k6"
"516","gcga","Gcg"
"521","gdnfa","Gdnf"
"523","gfra1a","Gfra1"
"527","gfra1b","Gfra1"
"530","foxc1a","Foxc1"
"531","foxc1b","Foxc1"
"532","agxtb","Agxt"
"534","cyp11a1","Cyp11a1"
"537","slit2","Slit2"
"538","slit3","Slit3"
"540","slc6a3","Slc6a3"
"542","dvl3a","Dvl3"
"543","ttc7a","Ttc7"
"545","nacc1a","Nacc1"
"548","cdk1","Cdk1"
"550","enah","Enah"
"552","papss2b","Papss2"
"554","cldn1","Cldn1"
"555","cldn11b","Cldn11"
"558","cldn12","Cldn12"
"560","hip1","Hip1"
"561","baz1b","Baz1b"
"563","bcl7bb","Bcl7b"
"565","gtf2ird1","Gtf2ird1"
"567","eif4h","Eif4h"
"568","crx","Crx"
"571","nkx2.1","Nkx2-1"
"575","anxa13","Anxa13"
"576","ncoa2","Ncoa2"
"579","vipr2","Vipr2"
"581","dhfr","Dhfr"
"584","glrba","Glrb"
"588","glra4a","Glra4"
"592","six2a","Six2"
"596","bambia","Bambi"
"598","dmd","Dmd"
"601","cry1a","Cry1"
"604","cry1b","Cry1"
"607","cry2","Cry2"
"609","mut","Mmut"
"610","ppt2b","Ppt2"
"613","skiv2l","Skiv2l"
"615","bag6","Bag6"
"617","ehmt2","Ehmt2"
"619","hmga1a","Hmga1"
"623","ucp1","Ucp1"
"628","nr5a1a","Nr5a1"
"632","clic3","Clic3"
"634","bco1","Bco1"
"637","twsg1a","Twsg1"
"640","cp","Cp"
"643","slc4a1a","Slc4a1"
"645","mafa","Maf"
"651","mafaa","Mafa"
"654","cdh1","Cdh1"
"657","ube2ia","Ube2i"
"659","igf1","Igf1"
"661","gja8b","Gja8"
"665","neurod6a","Neurod6"
"667","neurod6b","Neurod6"
"669","neurod2","Neurod2"
"672","neurog3","Neurog3"
"673","cxcr4b","Cxcr4"
"677","efnb1","Efnb1"
"679","efnb3b","Efnb3"
"681","gjb1a","Gjb1"
"684","zeb1b","Zeb1"
"686","dusp5","Dusp5"
"688","lmo4a","Lmo4"
"691","mesp1","Mesp1"
"692","gng3","Gng3"
"693","cnmd","Cnmd"
"694","irx1b","Irx1"
"703","irx5a","Irx5"
"710","lcat","Lcat"
"712","epha3","Epha3"
"714","casq2","Casq2"
"716","ddah1","Ddah1"
"718","apoea","Apoe"
"719","mpz","Mpz"
"723","arf1","Arf1"
"725","fh","Fh1"
"727","dlg1","Dlg1"
"728","btg1","Btg1"
"729","etv6","Etv6"
"732","bcl2l1","Bcl2l1"
"734","spry4","Spry4"
"735","crybb1","Crybb1"
"737","f7","F7"
"738","odc1","Odc1"
"742","angpt1","Angpt1"
"744","angpt2b","Angpt2"
"745","angptl3","Angptl3"
"747","ncam2","Ncam2"
"749","ncam1b","Ncam1"
"752","bivm","Bivm"
"753","ache","Ache"
"755","ednraa","Ednra"
"758","pklr","Pklr"
"760","mitfb","Mitf"
"766","tfe3a","Tfe3"
"771","tfe3b","Tfe3"
"772","adh5","Adh5"
"775","ndufb5","Ndufb5"
"777","gabpa","Gabpa"
"779","aldh1a2","Aldh1a2"
"786","smad6a","Smad6"
"788","ugdh","Ugdh"
"791","dcc","Dcc"
"792","mab21l2","Mab21l2"
"796","ngb","Ngb"
"797","prkci","Prkci"
"800","efna3b","Efna3"
"802","sfrp5","Sfrp5"
"806","klf2a","Klf2"
"808","klf2b","Klf2"
"809","klf3","Klf3"
"811","gpc4","Gpc4"
"813","hsf2","Hsf2"
"816","gnat2","Gnat2"
"818","gnat1","Gnat1"
"820","jag1a","Jag1"
"822","jag2b","Jag2"
"824","jag1b","Jag1"
"826","guca1a","Guca1a"
"829","guca1b","Guca1b"
"831","sox10","Sox10"
"837","casp3a","Casp3"
"840","xbp1","Xbp1"
"841","fads2","Fads2"
"844","rab2a","Rab2a"
"847","vim","Vim"
"850","tfap2a","Tfap2a"
"857","per1a","Per1"
"859","per2","Per2"
"862","nanos3","Nanos3"
"865","cxcr4a","Cxcr4"
"869","ckbb","Ckb"
"871","hnf1ba","Hnf1b"
"874","ptpra","Ptpra"
"875","ptprfa","Ptprf"
"878","ptprsa","Ptprs"
"880","psap","Psap"
"883","ryr1a","Ryr1"
"887","lactb","Lactb"
"889","cebpa","Cebpa"
"891","cebpb","Cebpb"
"893","cebpd","Cebpd"
"895","cebpg","Cebpg"
"897","ptk2ab","Ptk2"
"899","dmbx1a","Dmbx1"
"905","gbx1","Gbx1"
"907","meis1b","Meis1"
"911","meis2a","Meis2"
"913","pknox1.2","Pknox1"
"914","s1pr2","S1pr2"
"916","gria2a","Gria2"
"917","gria2b","Gria2"
"918","gria4a","Gria4"
"920","cacna1c","Cacna1c"
"922","ube4b","Ube4b"
"923","tlx2","Tlx2"
"927","mkrn1","Mkrn1"
"929","mkrn2","Mkrn2"
"932","appb","App"
"935","spns1","Spns1"
"936","sall1a","Sall1"
"939","sall1b","Sall1"
"942","sall3a","Sall3"
"945","phc2a","Phc2"
"946","fabp3","Fabp3"
"949","fabp1a","Fabp1"
"953","rbp5","Crabp1"
"954","rbp2a","Rbp2"
"957","crabp1a","Crabp1"
"960","crabp2a","Crabp2"
"961","il17rd","Il17rd"
"964","ccng1","Ccng1"
"966","psma6a","Psma6"
"968","glra3","Glra3"
"970","glra4b","Glra4"
"974","elob","Elob"
"976","dcun1d2a","Dcun1d2"
"978","tpi1a","Tpi1"
"980","tpi1b","Tpi1"
"982","tbx6","Tbx6"
"986","sec61a1","Sec61a1"
"987","u2af1","U2af1"
"989","atp6v1e1b","Atp6v1e1"
"991","ppp1r10","Ppp1r10"
"993","pole2","Pole2"
"995","timm23a","Timm23"
"996","csnk1a1","Csnk1a1"
"998","rpl35","Rpl35"
"1000","smc4","Smc4"
"1003","sf3b4","Sf3b4"
"1005","atp6v0ca","Atp6v0c"
"1008","rpl24","Rpl24"
"1010","snrpc","Snrpc"
"1012","mcm7","Mcm7"
"1014","scarb2a","Scarb2"
"1016","ncbp2","Ncbp2"
"1018","hdac1","Hdac1"
"1020","vps18","Vps18"
"1022","actl6a","Actl6a"
"1024","uxs1","Uxs1"
"1025","stil","Stil"
"1028","cct3","Cct3"
"1030","rpl36a","Rpl36a"
"1031","atp6ap1b","Atp6ap1"
"1034","eef1g","Eef1g"
"1036","naca","Naca"
"1039","fshr","Fshr"
"1041","mtf1","Mtf1"
"1044","lmnb1","Lmnb1"
"1045","lmna","Lmna"
"1048","flot1a","Flot1"
"1051","flot1b","Flot1"
"1052","flot2a","Flot2"
"1054","atp1a1a.5","Atp1a1"
"1055","igf1ra","Igf1r"
"1057","igf1rb","Igf1r"
"1059","insra","Insr"
"1061","insrb","Insr"
"1063","ptk2bb","Ptk2b"
"1065","invs","Invs"
"1068","vangl2","Vangl2"
"1070","cryaa","Cryaa"
"1071","nek8","Nek8"
"1073","gbx2","Gbx2"
"1077","cygb1","Cygb"
"1081","gpia","Gpi1"
"1083","gpib","Gpi1"
"1085","id3","Id3"
"1086","mab21l1","Mab21l1"
"1089","tbx15","Tbx15"
"1091","tbx18","Tbx18"
"1093","ptgs1","Ptgs1"
"1096","ptgs2a","Ptgs2"
"1100","ahr1a","Ahr"
"1104","thbs1b","Thbs1"
"1106","thbs2a","Thbs2"
"1108","thbs3a","Thbs3"
"1110","thbs4b","Thbs4"
"1112","myo7aa","Myo7a"
"1115","mycn","Mycn"
"1120","mpp5a","Mpp5"
"1123","h2az2a","H2az2"
"1125","oaz1a","Oaz1"
"1127","oaz1b","Oaz1"
"1128","fmr1","Fmr1"
"1130","bbs2","Bbs2"
"1132","hgd","Hgd"
"1134","p2rx4a","P2rx4"
"1137","esr1","Esr1"
"1144","cers4a","Cers4"
"1147","cers2a","Cers2"
"1150","robo4","Robo4"
"1151","abl2","Abl2"
"1153","rfc3","Rfc3"
"1156","adcyap1a","Adcyap1"
"1159","twsg1b","Twsg1"
"1161","cxadr","Cxadr"
"1162","reln","Reln"
"1164","has2","Has2"
"1167","sim1a","Sim1"
"1168","atp2a1","Atp2a1"
"1169","copa","Copa"
"1171","msh6","Msh6"
"1173","id2a","Id2"
"1174","eef2k","Eef2k"
"1176","sec31a","Sec31a"
"1178","unc45b","Unc45b"
"1179","st8sia2","St8sia2"
"1183","dnah9","Dnah9"
"1185","acvrl1","Acvrl1"
"1187","mapk14b","Mapk14"
"1189","foxn1","Foxn1"
"1192","adra2a","Adra2a"
"1194","adra2b","Adra2b"
"1196","adra2c","Adra2c"
"1197","tram1","Tram1"
"1199","pak2a","Pak2"
"1202","ap3m1","Ap3m1"
"1204","stt3a","Stt3a"
"1206","ccng2","Ccng2"
"1208","sec61a1l","Sec61a1"
"1209","tlx3b","Tlx3"
"1213","tlx1","Tlx1"
"1216","btaf1","Btaf1"
"1218","npm1a","Npm1"
"1220","ccnf","Ccnf"
"1222","cbsb","Cbs"
"1224","cad","Cad"
"1226","ranbp9","Ranbp9"
"1228","neo1a","Neo1"
"1229","arcn1a","Arcn1"
"1231","pwp2h","Pwp2"
"1232","slc11a2","Slc11a2"
"1233","trpm7","Trpm7"
"1236","rdh8a","Rdh8"
"1238","cdon","Cdon"
"1239","ets1","Ets1"
"1241","lmo1","Lmo1"
"1243","plk1","Plk1"
"1244","kars1","Kars"
"1247","klf6a","Klf6"
"1250","has3","Has3"
"1252","drd3","Drd3"
"1254","drd2a","Drd2"
"1255","c7b","C7"
"1258","grm6b","Grm6"
"1259","aldh3b1","Aldh3b1"
"1260","smarca5","Smarca5"
"1262","bckdk","Bckdk"
"1263","nav3","Nav3"
"1265","hspd1","Hspd1"
"1267","hnf1a","Hnf1a"
"1269","npc2","Npc2"
"1271","timm9","Timm9"
"1273","farsb","Farsb"
"1275","sdc2","Sdc2"
"1277","sebox","Sebox"
"1278","ahcyl1","Ahcyl1"
"1281","f10","F10"
"1283","mcm5","Mcm5"
"1285","mtx1b","Mtx1"
"1287","mtx2","Mtx2"
"1289","mtx3","Mtx3"
"1291","isg15","Isg15"
"1292","utp25","Utp25"
"1295","arl13b","Arl13b"
"1298","c19h1orf109","9930104L06Rik"
"1300","atp6v1h","Atp6v1h"
"1303","phf5a","Phf5a"
"1305","ncs1a","Ncs1"
"1307","dmrt3a","Dmrt3"
"1311","dag1","Dag1"
"1315","mc4r","Mc4r"
"1322","mc5ra","Mc5r"
"1329","mc5rb","Mc5r"
"1336","lamb1a","Lamb1"
"1337","lamc1","Lamc1"
"1342","igfbp1a","Igfbp1"
"1349","tsr2","Tsr2"
"1350","wdr43","Wdr43"
"1352","nifk","Nifk"
"1354","ttc27","Ttc27"
"1356","zcchc7","Zcchc7"
"1358","chrnb3b","Chrnb3"
"1360","ompb","Omp"
"1363","phex","Phex"
"1365","ruvbl2","Ruvbl2"
"1366","ruvbl1","Ruvbl1"
"1368","capns1a","Capns1"
"1370","elovl6","Elovl6"
"1372","suclg2","Suclg2"
"1374","ppan","Ppan"
"1376","impdh2","Impdh2"
"1378","coro1ca","Coro1c"
"1380","lars1b","Lars"
"1382","kbtbd8","Kbtbd8"
"1384","pola1","Pola1"
"1385","gapdh","Gapdh"
"1387","rock2a","Rock2"
"1391","esr2b","Esr2"
"1397","esr2a","Esr2"
"1403","scfd1","Scfd1"
"1405","azin1b","Azin1"
"1407","ttk","Ttk"
"1409","nfe2","Nfe2"
"1414","bckdhb","Bckdhb"
"1416","nkx3-2","Nkx3-2"
"1418","mbpa","Mbp"
"1421","smad7","Smad7"
"1422","smad3b","Smad3"
"1424","epb41b","Epb41"
"1426","rps27a","Rps27a"
"1428","mettl23","Mettl23"
"1430","nars1","Nars"
"1432","ccn2a","Ccn2"
"1439","laptm4a","Laptm4a"
"1441","sirt2","Sirt2"
"1443","agrn","Agrn"
"1445","smc2","Smc2"
"1446","hnf4a","Hnf4a"
"1451","arfgef1","Arfgef1"
"1454","fah","Fah"
"1456","mtif2","Mtif2"
"1458","prdx4","Prdx4"
"1460","yy1a","Yy1"
"1463","cpb1","Cpb1"
"1465","map1lc3b","Map1lc3b"
"1466","cbx3a","Cbx3"
"1469","leg1.1","2310057J18Rik"
"1473","tdo2a","Tdo2"
"1475","lpar5a","Lpar5"
"1476","agt","Agt"
"1478","slc2a2","Slc2a2"
"1483","h1-10","H1f10"
"1484","acta2","Acta2"
"1486","uap1","Uap1"
"1488","gmpr2","Gmpr2"
"1490","dpp3","Dpp3"
"1492","dhrs9","Dhrs9"
"1494","anpepb","Anpep"
"1498","aldh9a1a.1","Aldh9a1"
"1500","hp","Hp"
"1504","serping1","Serping1"
"1505","apoa4b.1","Apoa4"
"1506","dnajc3a","Dnajc3"
"1508","uqcrc2b","Uqcrc2"
"1510","pik3r1","Pik3r1"
"1512","zfyve21","Zfyve21"
"1513","trabd","Trabd"
"1515","shbg","Shbg"
"1517","chpt1","Chpt1"
"1519","hsd17b12b","Hsd17b12"
"1521","nprl3","Nprl3"
"1523","rab5aa","Rab5a"
"1527","aco2","Aco2"
"1529","stag1b","Stag1"
"1531","plg","Plg"
"1532","Sep-06","Septin6"
"1536","znf654","Zfp654"
"1538","cc2d1b","Cc2d1b"
"1540","aftpha","Aftph"
"1542","qpctla","Qpctl"
"1544","timm44","Timm44"
"1546","alox12","Alox12"
"1549","hsf2bp","Hsf2bp"
"1551","ccar1","Ccar1"
"1554","id2b","Id2"
"1556","nansa","Nans"
"1558","morc3a","Morc3"
"1560","znf770","Zfp770"
"1562","tia1","Tia1"
"1566","csrnp1b","Csrnp1"
"1568","blvrb","Blvrb"
"1570","map2k5","Map2k5"
"1573","polrmt","Polrmt"
"1575","atp6v0d1","Atp6v0d1"
"1578","ldlrad3","Ldlrad3"
"1580","ddx3xa","Ddx3x"
"1582","slc26a5","Slc26a5"
"1584","anapc5","Anapc5"
"1586","prom1a","Prom1"
"1588","mrm3b","Mrm3"
"1590","ttll9","Ttll9"
"1591","dnajc5ga","Dnajc5g"
"1593","cd164","Cd164"
"1595","p3h4","P3h4"
"1597","ewsr1b","Ewsr1"
"1599","otop1","Otop1"
"1601","plxnc1","Plxnc1"
"1604","msl2b","Msl2"
"1606","nanos1","Nanos1"
"1607","atg7","Atg7"
"1609","asb12a","Asb12"
"1611","rexo1","Rexo1"
"1613","efs","Efs"
"1615","wdhd1","Wdhd1"
"1617","socs6b","Socs6"
"1619","dnajc11a","Dnajc11"
"1621","slkb","Slk"
"1623","nup50","Nup50"
"1625","pdap1a","Pdap1"
"1626","cdca4","Cdca4"
"1627","clcn3","Clcn3"
"1629","zbtb40","Zbtb40"
"1631","acap3a","Acap3"
"1633","appbp2","Appbp2"
"1635","ell2","Ell2"
"1637","trappc11","Trappc11"
"1639","nktr","Nktr"
"1641","lgi1a","Lgi1"
"1642","exosc8","Exosc8"
"1644","cers5","Cers5"
"1647","alcamb","Alcam"
"1650","tm7sf3","Tm7sf3"
"1652","lrch1","Lrch1"
"1654","ist1","Ist1"
"1656","tcerg1a","Tcerg1"
"1658","phf14","Phf14"
"1660","optc","Optc"
"1661","ctdspl2b","Ctdspl2"
"1663","nfkbiab","Nfkbia"
"1667","ace","Ace"
"1668","pgam1a","Pgam1"
"1670","ccnt2b","Ccnt2"
"1672","smurf2","Smurf2"
"1674","ankrd13a","Ankrd13a"
"1676","smarcd1","Smarcd1"
"1678","ctdsp2","Ctdsp2"
"1679","hnrnpaba","Hnrnpab"
"1681","fignl1","Fignl1"
"1683","alpk2","Alpk2"
"1685","ahsa1a","Ahsa1"
"1687","pphln1","Pphln1"
"1689","col13a1","Col13a1"
"1691","kat7b","Kat7"
"1693","pkn3","Pkn3"
"1695","pik3cb","Pik3cb"
"1698","marcksb","Marcks"
"1701","snx4","Snx4"
"1703","ddx41","Ddx41"
"1712","tmem39a","Tmem39a"
"1713","filip1b","Filip1"
"1715","lasp1","Lasp1"
"1717","wsb1","Wsb1"
"1720","usp8","Usp8"
"1722","chac1","Chac1"
"1724","wbp1la","Wbp1l"
"1726","troap","Troap"
"1729","col14a1b","Col14a1"
"1732","cd99l2","Cd99l2"
"1734","flrt3","Flrt3"
"1736","zbtb16a","Zbtb16"
"1738","cep85","Cep85"
"1740","hdlbpa","Hdlbp"
"1742","actn3b","Actn3"
"1744","tlcd3ba","Tlcd3b"
"1746","mat2aa","Mat2a"
"1748","klhl31","Klhl31"
"1750","klhdc4","Klhdc4"
"1752","znf618","Zfp618"
"1754","tbc1d30","Tbc1d30"
"1756","sin3ab","Sin3a"
"1758","ehd1b","Ehd1"
"1760","ndnf","Ndnf"
"1762","pum1","Pum1"
"1764","tomm34","Tomm34"
"1766","cd248a","Cd248"
"1768","rpl14","Rpl14"
"1769","chtopa","Chtop"
"1771","evplb","Evpl"
"1773","setd2","Setd2"
"1775","ogdha","Ogdh"
"1777","mphosph10","Mphosph10"
"1780","cfl1","Cfl1"
"1782","prickle1b","Prickle1"
"1784","slc1a3a","Slc1a3"
"1788","nfyc","Nfyc"
"1790","metap2b","Metap2"
"1791","eif4g2a","Eif4g2"
"1794","cemip2","Cemip2"
"1797","pa2g4b","Pa2g4"
"1799","lsg1","Lsg1"
"1801","vcanb","Vcan"
"1803","prdm1a","Prdm1"
"1807","fbxo34","Fbxo34"
"1809","ylpm1","Ylpm1"
"1810","bhlha9","Bhlha9"
"1811","zc4h2","Zc4h2"
"1815","mtg2","Mtg2"
"1817","crtc2","Crtc2"
"1820","kifap3b","Kifap3"
"1821","fntb","Fntb"
"1823","seta","Set"
"1825","ssb","Ssb"
"1827","bmi1a","Bmi1"
"1829","dennd5b","Dennd5b"
"1831","hnrnpa0a","Hnrnpa0"
"1833","znf280d","Zfp280d"
"1835","grcc10","Grcc10"
"1836","col4a5","Col4a5"
"1838","bnip3la","Bnip3l"
"1840","vkorc1","Vkorc1"
"1842","arl4d","Arl4d"
"1844","cltca","Cltc"
"1846","senp3a","Senp3"
"1848","pik3r5","Pik3r5"
"1850","stard7","Stard7"
"1851","ewsr1a","Ewsr1"
"1852","tmx1","Tmx1"
"1854","eif4ebp1","Eif4ebp1"
"1855","hexb","Hexb"
"1857","med24","Med24"
"1858","vapb","Vapb"
"1861","cdca5","Cdca5"
"1863","itm2ba","Itm2b"
"1865","galnt1","Galnt1"
"1867","gpr182","Gpr182"
"1869","pdcl","Pdcl"
"1870","dcaf15","Dcaf15"
"1872","bada","Bad"
"1874","aebp1","Aebp1"
"1876","zfp36l1b","Zfp36l1"
"1878","naa15a","Naa15"
"1880","srpk1a","Srpk1"
"1882","tmem154","Tmem154"
"1884","zmym2","Zmym2"
"1886","hcfc1b","Hcfc1"
"1888","hspa4l","Hspa4l"
"1890","cav1","Cav1"
"1892","f11r.1","F11r"
"1893","srsf2b","Srsf2"
"1896","rtn1a","Rtn1"
"1898","col7a1","Col7a1"
"1900","midn","Midn"
"1902","oxr1b","Oxr1"
"1903","dab2ipb","Dab2ip"
"1905","top2a","Top2a"
"1906","dbr1","Dbr1"
"1908","rnaseh2c","Rnaseh2c"
"1909","atp8b2","Atp8b2"
"1911","hspb8","Hspb8"
"1913","gdi2","Gdi2"
"1915","sf1","Sf1"
"1917","rsad1","Rsad1"
"1920","rnaset2","Rnaset2a"
"1922","plekhg6","Plekhg6"
"1924","tnrc6a","Tnrc6a"
"1926","akap10","Akap10"
"1927","nradd","Nradd"
"1929","znf217","Zfp217"
"1931","dennd2b","Denn2b"
"1935","slc52a2","Slc52a2"
"1937","dusp23a","Dusp23"
"1938","gas2l3","Gas2l3"
"1940","mcmdc2","Mcmdc2"
"1942","tgm2b","Tgm2"
"1944","nsd2","Nsd2"
"1946","clint1a","Clint1"
"1948","sfmbt1","Sfmbt1"
"1950","insm1b","Insm1"
"1951","cul1a","Cul1"
"1953","rgs12a","Rgs12"
"1955","parp12b","Parp12"
"1956","urb2","Urb2"
"1958","waca","Wac"
"1960","mex3b","Mex3b"
"1962","prpf19","Prpf19"
"1964","wu:fc13h05","3425401B19Rik"
"1966","atf5b","Atf5"
"1967","stt3b","Stt3b"
"1969","serpinc1","Serpinc1"
"1971","dnaja1","Dnaja1"
"1973","ankrd46a","Ankrd46"
"1974","nsrp1","Nsrp1"
"1976","mtmr14","Mtmr14"
"1978","wnk1b","Wnk1"
"1981","brd4","Brd4"
"1983","klc2","Klc2"
"1985","klhl13","Klhl13"
"1987","tmed2","Tmed2"
"1990","gtf2a1","Gtf2a1"
"1991","tsc2","Tsc2"
"1993","prdm14","Prdm14"
"1999","psmd11a","Psmd11"
"2001","mon2","Mon2"
"2003","pigc","Pigc"
"2005","add3a","Add3"
"2007","dnajb12a","Dnajb12"
"2009","ube2d1b","Ube2d1"
"2011","prpf40a","Prpf40a"
"2013","eif3ba","Eif3b"
"2015","plekhm1","Plekhm1"
"2017","ndfip1","Ndfip1"
"2019","cnot6a","Cnot6"
"2021","c1galt1c1","C1galt1c1"
"2023","trim33","Trim33"
"2025","bcar1","Bcar1"
"2027","jpt1b","Jpt1"
"2029","stag2b","Stag2"
"2031","fbxo38","Fbxo38"
"2033","adi1","Adi1"
"2035","dyrk2","Dyrk2"
"2037","podxl","Podxl"
"2039","det1","Det1"
"2040","acbd6","Acbd6"
"2042","cd82a","Cd82"
"2044","tle2a","Tle2"
"2048","sp1","Sp1"
"2050","eif2s1b","Eif2s1"
"2052","adra1aa","Adra1a"
"2054","snrpa","Snrpa"
"2056","ess2","Ess2"
"2058","stk3","Stk3"
"2061","znf384b","Zfp384"
"2065","cd82b","Cd82"
"2067","foxk2","Foxk2"
"2069","adam17a","Adam17"
"2071","tax1bp1b","Tax1bp1"
"2073","taf13","Taf13"
"2075","iqgap2","Iqgap2"
"2077","tmem209","Tmem209"
"2079","dnaja2b","Dnaja2"
